推,噓,分數,作者,標題,時間
3,2,1,songgood (ilovegoodgame),[問卦] 歧視法律人是全民運動吧？,Sun Nov  1 08:30:31 2020
4,3,1,zxc881230 (神槍手打手槍神),[問卦] 丹丹為何不來中部開店,Sun Nov  1 10:42:28 2020
4,5,-1,cirin (Cook),[問卦] 最大的悲哀不是壞人的猖狂而是好人的沉默,Sun Nov  1 01:45:33 2020
5,7,-2,oftisa (oo),[新聞] 陸媒：15年後 大陸人均GDP將達4至6萬美元,Sun Nov  1 10:28:18 2020
1,0,1,oz5566 (威廉。霍恩索倫),[問卦] 牛蛙是不是很可愛,Sun Nov  1 10:12:29 2020
4,1,3,e741000 (複利葉。腹便。幫浦拉絲),[問卦] 有人聽武統該怎麼辦,Sun Nov  1 09:04:17 2020
2,1,1,KahoJyumonji (Kahojyumonji),[新聞] 萬聖節嘉年華 士院院長扮禰豆子籲重視兒 ,Sun Nov  1 10:16:20 2020
1,0,1,Paul1021 (胡迪),[問卦] 台北市的治安相對其他縣市算比較好嗎,Sun Nov  1 00:37:10 2020
1,2,-1,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 台灣有連環殺手嗎？,Sun Nov  1 09:48:44 2020
0,0,0,rick102233 (),[問卦] 女生有辦法性侵男生嗎？,Sun Nov  1 11:35:15 2020
5,1,4,LiarF7 (萊爾‧愛撫妻),[問卦] 客服月薪可以70k以上嗎？,Sun Nov  1 09:19:19 2020
6,4,2,sodistrues (true),[問卦] 鬧這麼大 死刑定了吧?,Sun Nov  1 10:53:06 2020
4,1,3,flower42 (栗悟飯與龜波功),[問卦] 欸幹 11月了欸,Sun Nov  1 08:38:47 2020
2,0,2,filmwalker (外面的世界),[新聞] 《鬼滅之刃》逼宮《冰雪2》 全台單日吸金,Sun Nov  1 10:01:43 2020
0,3,-3,A816 (♥七瀬丸的灰太狼♥),[問卦] 你們都不怕亂噓害人變成犯罪者？,Sun Nov  1 10:15:06 2020
0,11,-11,lovesaber (幻想神),[新聞] 鬼滅之刃逼宮冰雪2 全台單日吸金3500萬,Sun Nov  1 10:02:27 2020
17,1,16,Machienchien (倫家4女森捏><),[問卦] 糖豆人可以舉辦世界大賽嗎,Sun Nov  1 11:13:05 2020
4,0,4,thewtf (濱邊美波我老婆),[問卦] 遇到殭屍怎麼辦,Sun Nov  1 09:18:07 2020
4,4,0,foreverthink (曹雞拜振恰倪嵐),[問卦] 死刑了 然後呢？,Sun Nov  1 02:49:50 2020
2,1,1,arnold3 (憂鬱型男阿雲),[問卦] 為什麼東南亞人不支持廢死?,Sun Nov  1 01:25:57 2020
2,2,0,americ (americ),[問卦] 美國大法官6:3 戀同者 會入罪嗎,Sun Nov  1 01:57:59 2020
8,6,2,amy93 (silence),[新聞] 蔡總統賴副總統弔唁 朱冠甍女兒牙牙學語,Sun Nov  1 00:31:35 2020
12,0,12,G2S (貓貓好吃),[問卦] 當兵跑3000真的有3000公尺嗎?,Sun Nov  1 10:21:15 2020
6,5,1,belucky (),[問卦] 火屬性是不是比較好,Sun Nov  1 08:32:06 2020
27,63,-36,lovea (lovea),[新聞] 女大生命案「路燈不亮」所致　黃偉哲反,Sun Nov  1 09:30:38 2020
8,3,5,havochuman (嗨嗨嗨嗨嗨嗨),[問卦] 台灣有欠誰嗎?,Sun Nov  1 11:21:17 2020
0,0,0,tello (妳高興就好~),[問卦] 把人犯引渡給馬來西亞不就好了？,Sun Nov  1 11:31:26 2020
3,4,-1,seabox (盒盒),[公告] 八卦板板規(2020.10.11),Sun Oct 11 00:00:02 2020
8,1,7,moghtw11111 (如果我是迪杰),[問卦] Marvel 版是漫威版嗎？！,Sun Nov  1 08:44:23 2020
4,1,3,Cetuximab (單株),[問卦] 強姦殺人會判死刑定讞執行？,Sun Nov  1 10:38:11 2020
10,2,8,zzyyxx77 (討噓大師77),"[問卦] 慟..勇者阿邦死了= =""",Sun Nov  1 09:02:52 2020
9,6,3,cirin (Cook),"[問卦] 最近爛事一堆會有""我817我錯了""行動嗎?!",Sun Nov  1 09:48:49 2020
7,0,7,mossdevin (Devin Moss 10),[問卦] Pixel 5手機言過其實的八卦？,Sun Nov  1 09:22:51 2020
28,38,-10,hello456 (好無聊......),[新聞] 柯文哲暗酸蘇揆失智 政院：把疾病掛在嘴,Sun Nov  1 09:03:06 2020
3,0,3,maybetodo (np),[問卦] 不吃案但要養案怎麼算？,Sun Nov  1 00:32:11 2020
4,0,4,JHGF2468A (Joker),[問卦] 有沒有螢幕壞掉的八卦,Sun Nov  1 09:10:35 2020
6,0,6,LeonardoChen (LeonardoChen),[問卦] 如果道歉有用的話，要警察幹嘛？,Sun Nov  1 02:15:51 2020
27,8,19,mark999jrpan (安份坐在自己位子 ),[問卦] 有沒有摩羯座老闆硬到靠北的八卦?,Sun Nov  1 11:01:59 2020
6,1,5,CODDDD (好吃鱈魚高蛋白♡♡),[問卦] 168斷食包含禁食精液嗎,Sun Nov  1 03:18:09 2020
12,1,11,HuangJC (吹笛牧童),[問卦] 有沒有貓陪主人跑步的？ -- 陽光普照,Sun Nov  1 04:09:48 2020
4,1,3,ffdqfe (苦惱),[問卦] 買早餐遇到貓貓攔路怎辦？,Sun Nov  1 10:13:04 2020
35,2,33,xiikjuy (xiikjuy),[爆卦] 法國又發生恐攻?,Sun Nov  1 04:04:28 2020
5,1,4,NUMB43 (晚了~該睡了),[問卦] 半夜打死蚊子有違法嗎,Sun Nov  1 02:35:26 2020
6,0,6,became (windim),[問卦] 在我國偽出國要去哪好呢？,Sun Nov  1 08:26:08 2020
4,2,2,Aloee (柯粉),[問卦] 台灣導演想得獎就去拍甲甲片？,Sun Nov  1 11:22:26 2020
4,0,4,yi0116 (),[問卦] 柯孟杰是賣鞋霸主嗎,Sun Nov  1 03:22:41 2020
17,2,15,jay251935 (J.),[問卦] 現在哪裡還有五六百萬的透天?,Sun Nov  1 00:32:37 2020
14,3,11,s001582000 (洨軒),[問卦] 認真記帳一個月會改進花費習慣嗎,Sun Nov  1 02:06:03 2020
3,1,2,yangshaojiun (MATATA),[問卦] 吃飽了 然後呢？,Sun Nov  1 09:02:01 2020
4,0,4,sdtgfsrt (カヴァスⅡ世),[問卦] youtube實況是不是很吃資源阿?,Sun Nov  1 02:05:23 2020
12,3,9,doro0202 (Doro),[問卦] 我覺得我撐不下去了,Sun Nov  1 02:54:55 2020
16,2,14,olmtw (olmtw),[新聞] 確診人數突破百萬！政策大轉彎 英相強生,Sun Nov  1 08:38:51 2020
6,2,4,kinghole (安),[問卦] 為什麼法官很多重罪不判重刑？,Sun Nov  1 01:31:13 2020
7,7,0,Hiterler (希特勒),[問卦] 台灣人是不是很可悲？,Sun Nov  1 09:05:34 2020
7,0,7,king786945 (你看不見我),[問卦] 要去搭叫無限的火車,Sun Nov  1 00:28:19 2020
11,3,8,hltinokuo (甜甜-5樓/威秀影城1廳),[問卦] 有沒有家庭，假日在咖啡館待一整天的卦,Sun Nov  1 08:09:48 2020
7,4,3,"passing (0""_""0)",[問卦] 男生小團體多還是女生?,Sun Nov  1 00:51:21 2020
